STEP 0; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=6];
STEP 1; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=6];
STEP 2; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=5];
STEP 3; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=5];
STEP 4; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=4];
STEP 5; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=3];
STEP 6; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=3];
STEP 7; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=4];
STEP 8; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=5];
STEP 9; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=5];
STEP 10; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=4];
STEP 11; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=3];
STEP 12; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=3];
STEP 13; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=2];
STEP 14; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=2];
STEP 15; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=1];
STEP 16; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=0];
STEP 17; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=0];
STEP 18; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=1];
STEP 19; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=1];
STEP 20; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=1];
STEP 21; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=0];
STEP 22; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=0];
STEP 23; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=0];
STEP 24; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=0];
STEP 25; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=1];
STEP 26; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=1];
STEP 27; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=2];
STEP 28; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=2];
STEP 29; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=3];
STEP 30; EVENT position; UNIT rover-1; POSITION Coordinate[X=0, Y=4];
STEP 31; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=4];
STEP 32; EVENT position; UNIT rover-1; POSITION Coordinate[X=1, Y=3];
STEP 33; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=3];
STEP 34; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=4];
STEP 35; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=5];
STEP 36; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=6];
STEP 37; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=6];
STEP 38; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=7];
STEP 39; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=8];
STEP 40; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=8];
STEP 41; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=7];
STEP 42; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=7];
STEP 43; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=7];
STEP 44; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=6];
STEP 45; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=6];
STEP 46; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=5];
STEP 47; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=5];
STEP 48; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=4];
STEP 49; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=3];
STEP 50; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=2];
STEP 51; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=2];
STEP 52; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=2];
STEP 53; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=1];
STEP 54; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=1];
STEP 55; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=1];
STEP 56; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=2];
STEP 57; EVENT position; UNIT rover-1; POSITION Coordinate[X=2, Y=3];
STEP 58; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=3];
STEP 59; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=4];
STEP 60; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=5];
STEP 61; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=5];
STEP 62; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=6];
STEP 63; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=6];
STEP 64; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=5];
STEP 65; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=4];
STEP 66; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=4];
STEP 67; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=4];
STEP 68; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=3];
STEP 69; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=2];
STEP 70; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=1];
STEP 71; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=1];
STEP 72; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=0];
STEP 73; EVENT position; UNIT rover-1; POSITION Coordinate[X=3, Y=0];
STEP 74; EVENT position; UNIT rover-1; POSITION Coordinate[X=4, Y=0];
